A1|Dressing for one wound
JE|Administered via dialysate
JF|Compounded drug
JW|Drug amount discarded/not administered to any patient
K0|Lower extremity prosthesis functional level 0 - does not have the ability or potential to ambulate or transfer safely with or without assistance and a prosthesis does not enhance their quality of life or mobility.
K1|Lower extremity prosthesis functional level 1 - has the ability or potential to use a prosthesis for transfers or ambulation on level surfaces at fixed cadence. typical of the limited and unlimited household ambulator.
K2|"Lower extremity prosthesis functional level 2 - has the ability or potential for ambulation with the ability to traverse low level environmental barriers such as curbs, stairs or uneven surfaces.  typical of the limited community ambulator."
K3|"Lower extremity prosthesis functional level 3 - has the ability or potential for ambulation with variable cadence.  typical of the community ambulator who has the ability to transverse most environmental barriers and may have vocational, therapeutic, or exercise activity that demands prosthetic utilization beyond simple locomotion."
K4|"Lower extremity prosthesis functional level 4 - has the ability or potential for prosthetic ambulation that exceeds the basic ambulation skills, exhibiting high impact, stress, or energy levels, typical of the prosthetic demands of the child, active adult, or athlete."
KA|Add on option/accessory for wheelchair
KB|"Beneficiary requested upgrade for abn, more than 4 modifiers identified on claim"
KC|Replacement of special power wheelchair interface
KD|Drug or biological infused through dme
KE|Bid under round one of the dmepos competitive bidding program for use with non-competitive bid base equipment
KF|Item designated by fda as class iii device
KG|Dmepos item subject to dmepos competitive bidding program number 1
KH|"Dmepos item, initial claim, purchase or first month rental"
KI|"Dmepos item, second or third month rental"
KJ|"Dmepos item, parenteral enteral nutrition (pen) pump or capped rental, months four to fifteen"
KK|Dmepos item subject to dmepos competitive bidding program number 2
KL|Dmepos item delivered via mail
KM|Replacement of facial prosthesis including new impression/moulage
KN|Replacement of facial prosthesis using previous master model
KO|Single drug unit dose formulation
KP|First drug of a multiple drug unit dose formulation
KQ|Second or subsequent drug of a multiple drug unit dose formulation
KR|"Rental item, billing for partial month"
KS|Glucose monitor supply for diabetic beneficiary not treated with insulin
KT|Beneficiary resides in a competitive bidding area and travels outside that competitive bidding area and receives a competitive bid item
KU|Dmepos item subject to dmepos competitive bidding program number 3
KV|Dmepos item subject to dmepos competitive bidding program that is furnished as part of a professional service
KW|Dmepos item subject to dmepos competitive bidding program number 4
KX|Requirements specified in the medical policy have been met
KY|Dmepos item subject to dmepos competitive bidding program number 5
KZ|New coverage not implemented by managed care
L1|Provider attestation that the hospital laboratory test(s) is not packaged under the hospital opps
LC|Left circumflex coronary artery
LD|Left anterior descending coronary artery
LL|Lease/rental (use the 'll' modifier when dme equipment rental is to be applied against the purchase price)
LM|Left main coronary artery
LR|Laboratory round trip
LS|Fda-monitored intraocular lens implant
LT|Left side (used to identify procedures performed on the left side of the body)
M2|Medicare secondary payer (msp)
MS|Six month maintenance and servicing fee for reasonable and necessary parts and labor which are not covered under any manufacturer or supplier warranty
NB|"Nebulizer system, any type, fda-cleared for use with specific drug"
NR|New when rented (use the 'nr' modifier when dme which was new at the time of rental is subsequently purchased)
NU|New equipment
P1|A normal healthy patient
P2|A patient with mild systemic disease
P3|A patient with severe systemic disease
P4|A patient with severe systemic disease that is a constant threat to life
P5|A moribund patient who is not expected to survive without the operation
P6|A declared brain-dead patient whose organs are being removed for donor purposes
PA|Surgical or other invasive procedure on wrong body part
PB|Surgical or other invasive procedure on wrong patient
PC|Wrong surgery or other invasive procedure on patient
PD|Diagnostic or related non diagnostic item or service provided in a wholly owned or operated entity to a patient who is admitted as an inpatient within 3 days
PI|Positron emission tomography (pet) or pet/computed tomography (ct) to inform the initial treatment strategy of tumors that are biopsy proven or strongly suspected of being cancerous based on other diagnostic testing
PL|Progressive addition lenses
PM|Post mortem
PO|"Services, procedures and/or surgeries provided at off-campus provider-based outpatient departments"
PS|Positron emission tomography (pet) or pet/computed tomography (ct) to inform the subsequent treatment strategy of cancerous tumors when the beneficiary's treating physician determines that the pet study is needed to inform subsequent anti-tumor strategy
PT|Colorectal cancer screening test; converted to diagnostic test or other procedure
Q0|Investigational clinical service provided in a clinical research study that is in an approved clinical research study
Q1|Routine clinical service provided in a clinical research study that is in an approved clinical research study
Q2|Hcfa/ord demonstration project procedure/service
Q3|Live kidney donor surgery and related services
Q4|Service for ordering/referring physician qualifies as a service exemption
Q5|Service furnished by a substitute physician under a reciprocal billing arrangement
Q6|Service furnished by a locum tenens physician
Q7|One class a finding
Q8|Two class b findings
Q9|One class b and two class c findings
QC|Single channel monitoring
QD|Recording and storage in solid state memory by a digital recorder
QE|Prescribed amount of oxygen is less than 1 liter per minute (lpm)
QF|Prescribed amount of oxygen exceeds 4 liters per minute (lpm) and portable oxygen is prescribed
QG|Prescribed amount of oxygen is greater than 4 liters per minute(lpm)
QH|Oxygen conserving device is being used with an oxygen delivery system
QJ|"Services/items provided to a prisoner or patient in state or local custody, however the state or local government, as applicable, meets the requirements in 42 cfr 411.4 (b)"
QK|"Medical direction of two, three, or four concurrent anesthesia procedures involving qualified individuals"
QL|Patient pronounced dead after ambulance called
QM|Ambulance service provided under arrangement by a provider of services
QN|Ambulance service furnished directly by a provider of services
QP|"Documentation is on file showing that the laboratory test(s) was ordered individually or ordered as a cpt-recognized panel other than automated profile codes 80002-80019, g0058, g0059, and g0060."
QS|Monitored anesthesia care service
QT|Recording and storage on tape by an analog tape recorder
QW|Clia waived test
QX|Crna service: with medical direction by a physician
QY|Medical direction of one certified registered nurse anesthetist (crna) by an anesthesiologist
QZ|Crna service: without medical direction by a physician
RA|"Replacement of a dme, orthotic or prosthetic item"
RB|"Replacement of a part of a dme, orthotic or prosthetic item furnished as part of a repair"
RC|Right coronary artery
RD|"Drug provided to beneficiary, but not administered ""incident-to"""
RE|Furnished in full compliance with fda-mandated risk evaluation and mitigation strategy (rems)
RI|Ramus intermedius coronary artery
RR|Rental (use the 'rr' modifier when dme is to be rented)
RT|Right side (used to identify procedures performed on the right side of the body)
SA|Nurse practitioner rendering service in collaboration with a physician
SB|Nurse midwife
SC|Medically necessary service or supply
SD|"Services provided by registered nurse with specialized, highly technical home infusion training"
SE|State and/or federally-funded programs/services
SF|"Second opinion ordered by a professional review organization (pro) per section 9401, p.l. 99-272 (100% reimbursement - no medicare deductible or coinsurance)"
SG|Ambulatory surgical center (asc) facility service
SH|Second concurrently administered infusion therapy
SJ|Third or more concurrently administered infusion therapy
SK|Member of high risk population (use only with codes for immunization)
SL|State supplied vaccine
SM|Second surgical opinion
SN|Third surgical opinion
SQ|Item ordered by home health
SS|Home infusion services provided in the infusion suite of the iv therapy provider
ST|Related to trauma or injury
SU|Procedure performed in physician's office (to denote use of facility and equipment)
SV|Pharmaceuticals delivered to patient's home but not utilized
SW|Services provided by a certified diabetic educator
SY|Persons who are in close contact with member of high-risk population (use only with codes for immunization)
SZ|Habilitative services
T1|"Left foot, second digit"
T2|"Left foot, third digit"
T3|"Left foot, fourth digit"
T4|"Left foot, fifth digit"
T5|"Right foot, great toe"
T6|"Right foot, second digit"
T7|"Right foot, third digit"
T8|"Right foot, fourth digit"
T9|"Right foot, fifth digit"
TA|"Left foot, great toe"
TC|"Technical component; under certain circumstances, a charge may be made for the technical component alone;  under those circumstances the technical component charge is identified by adding modifier 'tc' to the usual procedure number; technical component charges are institutional charges and not billed separately by physicians; however, portable x-ray suppliers only bill for technical component and should utilize modifier tc; the charge data from portable x-ray suppliers will then be used to build customary and prevailing profiles"
TD|Rn
TE|Lpn/lvn
TF|Intermediate level of care
TG|Complex/high tech level of care
TH|"Obstetrical treatment/services, prenatal or postpartum"
TJ|"Program group, child and/or adolescent"
TK|"Extra patient or passenger, non-ambulance"
TL|Early intervention/individualized family service plan (ifsp)
TM|Individualized education program (iep)
TN|Rural/outside providers' customary service area
TP|"Medical transport, unloaded vehicle"
TQ|Basic life support transport by a volunteer ambulance provider
TR|School-based individualized education program (iep) services provided outside the public school district responsible for the student
TS|Follow-up service
TT|Individualized service provided to more than one patient in same setting
TU|"Special payment rate, overtime"
TV|"Special payment rates, holidays/weekends"
TW|Back-up equipment
U1|"Medicaid level of care 1, as defined by each state"
U2|"Medicaid level of care 2, as defined by each state"
U3|"Medicaid level of care 3, as defined by each state"
U4|"Medicaid level of care 4, as defined by each state"
U5|"Medicaid level of care 5, as defined by each state"
U6|"Medicaid level of care 6, as defined by each state"
U7|"Medicaid level of care 7, as defined by each state"
U8|"Medicaid level of care 8, as defined by each state"
U9|"Medicaid level of care 9, as defined by each state"
UA|"Medicaid level of care 10, as defined by each state"
UB|"Medicaid level of care 11, as defined by each state"
UC|"Medicaid level of care 12, as defined by each state"
UD|"Medicaid level of care 13, as defined by each state"
UE|Used durable medical equipment
UF|Services provided in the morning
UG|Services provided in the afternoon
UH|Services provided in the evening
UJ|Services provided at night
UK|Services provided on behalf of the client to someone other than the client (collateral relationship)
UN|Two patients served
UP|Three patients served
UQ|Four patients served
UR|Five patients served
US|Six or more patients served
V5|Vascular catheter (alone or with any other vascular access)
V6|Arteriovenous graft (or other vascular access not including a vascular catheter)
V7|Arteriovenous fistula only (in use with two needles)
V8|Infection present
V9|No infection present
VP|Aphakic patient
XE|"Separate encounter, a service that is distinct because it occurred during a separate encounter"
XP|"Separate practitioner, a service that is distinct because it was performed by a different practitioner"
XS|"Separate structure, a service that is distinct because it was performed on a separate organ/structure"
XU|"Unusual non-overlapping service, the use of a service that is distinct because it does not overlap usual components of the main service"
ZA|Novartis/sandoz
A0021|"Ambulance service, outside state per mile, transport (medicaid only)"
A0080|"Non-emergency transportation, per mile - vehicle provided by volunteer (individual or organization), with no vested interest"
A0090|"Non-emergency transportation, per mile - vehicle provided by individual (family member, self, neighbor) with vested interest"
A0100|Non-emergency transportation; taxi
A0110|"Non-emergency transportation and bus, intra or inter state carrier"
A0120|"Non-emergency transportation: mini-bus, mountain area transports, or other transportation systems"
A0130|Non-emergency transportation: wheelchair van
A0140|Non-emergency transportation and air travel (private or commercial) intra or inter state
A0160|Non-emergency transportation: per mile - case worker or social worker
A0170|"Transportation ancillary: parking fees, tolls, other"
A0180|Non-emergency transportation: ancillary: lodging-recipient
A0190|Non-emergency transportation: ancillary: meals-recipient
A0200|Non-emergency transportation: ancillary: lodging escort
A0210|Non-emergency transportation: ancillary: meals-escort
A0225|"Ambulance service, neonatal transport, base rate, emergency transport, one way"
A0380|Bls mileage (per mile)
A0382|Bls routine disposable supplies
A0384|Bls specialized service disposable supplies; defibrillation (used by als ambulances and bls ambulances in jurisdictions where defibrillation is permitted in bls ambulances)
A0390|Als mileage (per mile)
A0392|Als specialized service disposable supplies; defibrillation (to be used only in jurisdictions where defibrillation cannot be performed in bls ambulances)
A0394|Als specialized service disposable supplies; iv drug therapy
A0396|Als specialized service disposable supplies; esophageal intubation
A0398|Als routine disposable supplies
A0420|"Ambulance waiting time (als or bls), one half (1/2) hour increments"
A0422|"Ambulance (als or bls) oxygen and oxygen supplies, life sustaining situation"
A0424|"Extra ambulance attendant, ground (als or bls) or air (fixed or rotary winged); (requires medical review)"
A0425|"Ground mileage, per statute mile"
A0426|"Ambulance service, advanced life support, non-emergency transport, level 1 (als 1)"
A0427|"Ambulance service, advanced life support, emergency transport, level 1 (als 1 - emergency)"
A0428|"Ambulance service, basic life support, non-emergency transport, (bls)"
A0429|"Ambulance service, basic life support, emergency transport (bls-emergency)"
A0430|"Ambulance service, conventional air services, transport, one way (fixed wing)"
A0431|"Ambulance service, conventional air services, transport, one way (rotary wing)"
A0432|"Paramedic intercept (pi), rural area, transport furnished by a volunteer ambulance company which is prohibited by state law from billing third party payers"
A0433|"Advanced life support, level 2 (als 2)"
A0434|Specialty care transport (sct)
A0435|"Fixed wing air mileage, per statute mile"
A0436|"Rotary wing air mileage, per statute mile"
A0888|"Noncovered ambulance mileage, per mile (e.g., for miles traveled beyond closest appropriate facility)"
A0998|"Ambulance response and treatment, no transport"
A0999|Unlisted ambulance service
A4206|"Syringe with needle, sterile, 1 cc or less, each"
A4207|"Syringe with needle, sterile 2 cc, each"
A4208|"Syringe with needle, sterile 3 cc, each"
A4209|"Syringe with needle, sterile 5 cc or greater, each"
A4210|"Needle-free injection device, each"
A4211|Supplies for self-administered injections
A4212|Non-coring needle or stylet with or without catheter
A4213|"Syringe, sterile, 20 cc or greater, each"
A4215|"Needle, sterile, any size, each"
A4216|"Sterile water, saline and/or dextrose, diluent/flush, 10 ml"
A4217|"Sterile water/saline, 500 ml"
A4218|"Sterile saline or water, metered dose dispenser, 10 ml"
A4220|Refill kit for implantable infusion pump
A4221|"Supplies for maintenance of drug infusion catheter, per week (list drug separately)"
A4222|"Infusion supplies for external drug infusion pump, per cassette or bag (list drugs separately)"
A4223|"Infusion supplies not used with external infusion pump, per cassette or bag (list drugs separately)"
A4230|"Infusion set for external insulin pump, non needle cannula type"
A4231|"Infusion set for external insulin pump, needle type"
A4232|"Syringe with needle for external insulin pump, sterile, 3 cc"
A4233|"Replacement battery, alkaline (other than j cell), for use with medically necessary home blood glucose monitor owned by patient, each"
A4234|"Replacement battery, alkaline, j cell, for use with medically necessary home blood glucose monitor owned by patient, each"
A4235|"Replacement battery, lithium, for use with medically necessary home blood glucose monitor owned by patient, each"
A4236|"Replacement battery, silver oxide, for use with medically necessary home blood glucose monitor owned by patient, each"
A4244|"Alcohol or peroxide, per pint"
A4245|"Alcohol wipes, per box"
A4246|"Betadine or phisohex solution, per pint"
A4247|"Betadine or iodine swabs/wipes, per box"
A4248|"Chlorhexidine containing antiseptic, 1 ml"
A4250|Urine test or reagent strips or tablets (100 tablets or strips)
A4252|"Blood ketone test or reagent strip, each"
A4253|"Blood glucose test or reagent strips for home blood glucose monitor, per 50 strips"
A4255|"Platforms for home blood glucose monitor, 50 per box"
A4256|"Normal, low and high calibrator solution / chips"
A4257|"Replacement lens shield cartridge for use with laser skin piercing device, each"
A4258|"Spring-powered device for lancet, each"
A4259|"Lancets, per box of 100"
A4261|Cervical cap for contraceptive use
A4262|"Temporary, absorbable lacrimal duct implant, each"
A4263|"Permanent, long term, non-dissolvable lacrimal duct implant, each"
A4264|Permanent implantable contraceptive intratubal occlusion device(s) and delivery system
A4265|"Paraffin, per pound"
A4266|Diaphragm for contraceptive use
A4267|"Contraceptive supply, condom, male, each"
A4268|"Contraceptive supply, condom, female, each"
A4269|"Contraceptive supply, spermicide (e.g., foam, gel), each"
A4270|"Disposable endoscope sheath, each"
A4280|"Adhesive skin support attachment for use with external breast prosthesis, each"
A4281|"Tubing for breast pump, replacement"
A4282|"Adapter for breast pump, replacement"
A4283|"Cap for breast pump bottle, replacement"
A4284|"Breast shield and splash protector for use with breast pump, replacement"
A4285|"Polycarbonate bottle for use with breast pump, replacement"
A4286|"Locking ring for breast pump, replacement"
A4290|"Sacral nerve stimulation test lead, each"
A4300|"Implantable access catheter, (e.g., venous, arterial, epidural subarachnoid, or peritoneal, etc.) external access"
A4301|"Implantable access total catheter, port/reservoir (e.g., venous, arterial, epidural, subarachnoid, peritoneal, etc.)"
A4305|"Disposable drug delivery system, flow rate of 50 ml or greater per hour"
A4306|"Disposable drug delivery system, flow rate of less than 50 ml per hour"
A4310|Insertion tray without drainage bag and without catheter (accessories only)
A4311|"Insertion tray without drainage bag with indwelling catheter, foley type, two-way latex with coating (teflon, silicone, silicone elastomer or hydrophilic, etc.)"
A4312|"Insertion tray without drainage bag with indwelling catheter, foley type, two-way, all silicone"
A4313|"Insertion tray without drainage bag with indwelling catheter, foley type, three-way, for continuous irrigation"
A4314|"Insertion tray with drainage bag with indwelling catheter, foley type, two-way latex with coating (teflon, silicone, silicone elastomer or hydrophilic, etc.)"
A4315|"Insertion tray with drainage bag with indwelling catheter, foley type, two-way, all silicone"
A4316|"Insertion tray with drainage bag with indwelling catheter, foley type, three-way, for continuous irrigation"
A4320|"Irrigation tray with bulb or piston syringe, any purpose"
A4321|Therapeutic agent for urinary catheter irrigation
A4322|"Irrigation syringe, bulb or piston, each"
A4326|"Male external catheter with integral collection chamber, any type, each"
A4327|"Female external urinary collection device; meatal cup, each"
A4328|"Female external urinary collection device; pouch, each"
A4330|"Perianal fecal collection pouch with adhesive, each"
A4331|"Extension drainage tubing, any type, any length, with connector/adaptor, for use with urinary leg bag or urostomy pouch, each"
A4332|"Lubricant, individual sterile packet, each"
A4333|"Urinary catheter anchoring device, adhesive skin attachment, each"
A4334|"Urinary catheter anchoring device, leg strap, each"
A4335|Incontinence supply; miscellaneous
A4336|"Incontinence supply, urethral insert, any type, each"
A4337|"Incontinence supply, rectal insert, any type, each"
A4338|"Indwelling catheter; foley type, two-way latex with coating (teflon, silicone, silicone elastomer, or hydrophilic, etc.), each"
A4340|"Indwelling catheter; specialty type, (e.g., coude, mushroom, wing, etc.), each"
A4344|"Indwelling catheter, foley type, two-way, all silicone, each"
A4346|"Indwelling catheter; foley type, three way for continuous irrigation, each"
A4349|"Male external catheter, with or without adhesive, disposable, each"
A4351|"Intermittent urinary catheter; straight tip, with or without coating (teflon, silicone, silicone elastomer, or hydrophilic, etc.), each"
A4352|"Intermittent urinary catheter; coude (curved) tip, with or without coating (teflon, silicone, silicone elastomeric, or hydrophilic, etc.), each"
A4353|"Intermittent urinary catheter, with insertion supplies"
A4354|Insertion tray with drainage bag but without catheter
A4355|"Irrigation tubing set for continuous bladder irrigation through a three-way indwelling foley catheter, each"
A4356|"External urethral clamp or compression device (not to be used for catheter clamp), each"
A4357|"Bedside drainage bag, day or night, with or without anti-reflux device, with or without tube, each"
A4358|"Urinary drainage bag, leg or abdomen, vinyl, with or without tube, with straps, each"
A4360|"Disposable external urethral clamp or compression device, with pad and/or pouch, each"
A4361|"Ostomy faceplate, each"
A4362|"Skin barrier; solid, 4 x 4 or equivalent; each"
A4363|"Ostomy clamp, any type, replacement only, each"
A4364|"Adhesive, liquid or equal, any type, per oz"
A4366|"Ostomy vent, any type, each"
A4367|"Ostomy belt, each"
A4368|"Ostomy filter, any type, each"
A4369|"Ostomy skin barrier, liquid (spray, brush, etc.), per oz"
A4371|"Ostomy skin barrier, powder, per oz"
A4372|"Ostomy skin barrier, solid 4 x 4 or equivalent, standard wear, with built-in convexity, each"
A4373|"Ostomy skin barrier, with flange (solid, flexible or accordion),  with built-in convexity, any size, each"
A4375|"Ostomy pouch, drainable, with faceplate attached, plastic, each"
A4376|"Ostomy pouch, drainable, with faceplate attached, rubber, each"
A4377|"Ostomy pouch, drainable, for use on faceplate, plastic, each"
A4378|"Ostomy pouch, drainable, for use on faceplate, rubber, each"
A4379|"Ostomy pouch, urinary, with faceplate attached, plastic, each"
A4380|"Ostomy pouch, urinary, with faceplate attached, rubber, each"
A4381|"Ostomy pouch, urinary, for use on faceplate, plastic, each"
A4382|"Ostomy pouch, urinary, for use on faceplate, heavy plastic, each"
A4383|"Ostomy pouch, urinary, for use on faceplate, rubber, each"
A4384|"Ostomy faceplate equivalent, silicone ring, each"
A4385|"Ostomy skin barrier, solid 4 x 4 or equivalent, extended wear, without built-in convexity, each"
A4387|"Ostomy pouch, closed, with barrier attached, with built-in convexity (1 piece), each"
A4388|"Ostomy pouch, drainable, with extended wear barrier attached, (1 piece), each"
A4389|"Ostomy pouch, drainable, with barrier attached, with built-in convexity (1 piece), each"
A4390|"Ostomy pouch, drainable, with extended wear barrier attached, with built-in convexity (1 piece), each"
A4391|"Ostomy pouch, urinary, with extended wear barrier attached (1 piece), each"
A4392|"Ostomy pouch, urinary, with standard wear barrier attached, with built-in convexity (1 piece), each"
A4393|"Ostomy pouch, urinary, with extended wear barrier attached, with built-in convexity (1 piece), each"
A4394|"Ostomy deodorant, with or without lubricant, for use in ostomy pouch, per fluid ounce"
A4395|"Ostomy deodorant for use in ostomy pouch, solid, per tablet"
A4396|Ostomy belt with peristomal hernia support
A4397|"Irrigation supply; sleeve, each"
A4398|"Ostomy irrigation supply; bag, each"
A4399|"Ostomy irrigation supply; cone/catheter, with or without brush"
A4400|Ostomy irrigation set
A4402|"Lubricant, per ounce"
A4404|"Ostomy ring, each"
A4405|"Ostomy skin barrier, non-pectin based, paste, per ounce"
A4406|"Ostomy skin barrier, pectin-based, paste, per ounce"
